Solar,Wind,CCGT,Coal,Battery
0,0.425080681,1,1,1
0,0.420520453,1,1,1
0,0.406052707,1,1,1
0,0.380444369,1,1,1
0,0.369994817,1,1,1
0,0.354657933,1,1,1
0,0.277052511,1,1,1
0,0.223929671,1,1,1
0,0.200542612,1,1,1
0,0.207334802,1,1,1
0,0.209431998,1,1,1
0.011339698,0.216925235,1,1,1
0.070439529,0.221481428,1,1,1
0.158249182,0.254782025,1,1,1
0.252585136,0.314267712,1,1,1
0.326599446,0.374545192,1,1,1
0.360649897,0.374888969,1,1,1
0.349465747,0.383711787,1,1,1
0.29400343,0.382369413,1,1,1
0.202132725,0.375639944,1,1,1
0.103918961,0.369973896,1,1,1
0.036312985,0.359358548,1,1,1
0.005782835,0.343606905,1,1,1
2.76E-06,0.33332859,1,1,1
0,0.327938153,1,1,1
0,0.325686142,1,1,1
0,0.328794952,1,1,1
0,0.333749655,1,1,1
0,0.341446439,1,1,1
0,0.344669027,1,1,1
0,0.300074046,1,1,1
0,0.242803629,1,1,1
0,0.217125787,1,1,1
0,0.209121913,1,1,1
0,0.20504625,1,1,1
0.011483198,0.207258046,1,1,1
0.07086179,0.229434657,1,1,1
0.159054581,0.296343982,1,1,1
0.253829205,0.376814897,1,1,1
0.328252284,0.421983931,1,1,1
0.362660847,0.449182378,1,1,1
0.351779735,0.465256039,1,1,1
0.296528257,0.472003408,1,1,1
0.204613813,0.473787453,1,1,1
0.105732679,0.476501211,1,1,1
0.037211205,0.463864807,1,1,1
0.006078427,0.458749171,1,1,1
3.99E-06,0.449827704,1,1,1
0,0.442381224,1,1,1
0,0.431249627,1,1,1
0,0.417563485,1,1,1
0,0.410936817,1,1,1
0,0.412857795,1,1,1
0,0.40968919,1,1,1
0,0.359775496,1,1,1
0,0.282271035,1,1,1
0,0.243158187,1,1,1
0,0.227852421,1,1,1
0,0.227293699,1,1,1
0.011651493,0.242682063,1,1,1
0.071341508,0.264672908,1,1,1
0.159943689,0.328942224,1,1,1
0.255173716,0.408490269,1,1,1
0.330008041,0.473167087,1,1,1
0.364770546,0.490275337,1,1,1
0.354185898,0.488987874,1,1,1
0.299137497,0.481388764,1,1,1
0.207173832,0.43369976,1,1,1
0.107607754,0.40677788,1,1,1
0.038145011,0.394966792,1,1,1
0.006390105,0.386852982,1,1,1
5.58E-06,0.382729001,1,1,1
0,0.394231131,1,1,1
0,0.404467125,1,1,1
0,0.420304787,1,1,1
0,0.431999993,1,1,1
0,0.433761848,1,1,1
