Commercial,Industrial,Residential,Transportation
6765.251299,4467.48808,33168.69162,107486.5446
2961.223754,4493.115807,39721.97412,103898.4371
2987.687292,4571.373689,40016.25804,121509.0901
2895.340978,4503.043277,46221.83759,120095.2796
2830.250491,4591.223344,42817.81157,103532.5285
2706.298356,4632.271832,38048.73139,86323.16909
2554.8038,4718.594348,24655.94683,75363.45609
2372.922716,4948.230596,18594.48068,52353.27715
2073.576168,6126.586538,10895.50406,20470.88005
2010.22481,6099.28977,7560.411055,13427.14543
1995.870684,6107.968888,4423.175379,10454.58715
2036.478361,6064.589276,4320.765403,10571.10556
2158.910151,6147.921068,6309.591103,9865.37547
2363.219552,6657.688389,10745.89582,15682.27378
11238.99746,7346.911744,21596.1653,20662.01923
12141.04233,7820.221396,30942.68591,38367.40681
10456.1708,7792.32958,29498.65378,44104.09403
9207.291599,7863.454846,20545.70005,43337.10101
8320.310793,7592.516582,22454.78394,47437.79313
8048.237236,7614.327527,25498.30288,57479.86034
8224.318538,7698.714515,23341.92628,65323.68694
8133.455773,7753.894998,22367.81052,67996.20264
8063.50657,7695.029321,22534.71276,76990.73304
8095.371888,7612.267113,20867.6554,102595.4832
8303.929282,7509.58193,22980.74724,135009.8557
3147.747566,7429.208837,28437.20034,159931.0923
3032.915905,7424.81348,33455.83391,129248.6402
2861.782192,7554.413196,35147.26367,75920.22872
2636.479512,7603.119615,35868.52753,55050.7798
2474.090539,7366.942838,33187.42342,41876.07873
2301.911079,7102.582995,23238.63618,35512.49415
2195.775945,6820.478834,16176.15158,26520.54367
2111.624869,6460.160826,10879.81518,18189.53898
2063.616603,6301.961165,7769.268069,13811.64546
2044.128095,6293.179473,4534.941254,10728.29974
2084.195719,6238.422063,4428.254741,10835.57559
2203.473485,6299.882296,6446.625596,10080.77276
2407.449547,6802.592592,10951.7445,15981.26338
10843.96395,7456.810621,22062.03743,21104.63486
11874.22623,7949.498914,31515.87417,39076.56045
10217.23115,7885.187871,29848.33603,44610.30492
8914.836042,7919.148744,20693.53234,43655.02129
7980.002013,7587.219202,22478.03082,47498.42984
7685.175424,7580.950476,25437.98704,57378.05001
